step,cum_flops,train_loss,val_loss,phase_idx,active_groups,trainable_params
50,835308748800.0,3.3513,3.384,0,0,926784
100,1670617497600.0,3.2196,3.2113,0,0,926784
150,2505926246400.0,3.1587,3.1612,0,0,926784
200,3341234995200.0,3.1352,3.1452,0,0,926784
250,4176543744000.0,3.1064,3.1334,0,0,926784
300,5011852492800.0,3.1106,3.118,0,0,926784
350,5847161241600.0,3.1391,3.1055,1,1,926784
400,6492664627200.0,3.0719,3.097,1,1,889728
450,7138168012800.0,3.1133,3.0838,1,1,889728
500,7783671398400.0,3.0878,3.0962,1,1,889728
550,8429174784000.0,3.0537,3.0897,2,2,889728
600,8892461875200.0,2.6306,2.5971,2,2,902592
650,9355748966400.0,2.4726,2.5526,2,2,902592
700,9819036057600.0,2.4969,2.4757,2,2,902592
750,10282323148800.0,2.4542,2.4789,2,2,902592
800,10745610240000.0,2.4741,2.473,2,2,902592
850,11208897331200.0,2.4362,2.4637,2,2,902592
900,11672184422400.0,2.5235,2.4818,2,2,902592
950,12135471513600.0,2.507,2.4701,2,2,902592
1000,12598758604800.0,2.4598,2.4433,2,2,902592
1050,13062045696000.0,2.4048,2.4422,2,2,902592
1100,13525332787200.0,2.3739,2.4333,2,2,902592
1150,13988619878400.0,2.3303,2.4381,2,2,902592
1200,14451906969600.0,2.4728,2.4369,2,2,902592
1250,14915194060800.0,2.4073,2.4058,2,2,902592
1300,15378481152000.0,2.3458,2.4414,2,2,902592
1350,15841768243200.0,2.4309,2.4102,2,2,902592
1400,16305055334400.0,2.3662,2.417,2,2,902592
